interpretation,endpoint,experiment,author_set,condition,policy,unit,chunk_size,feature,author,n,correct,accuracy_pct,chance_pct,binomial_p_greater_than_chance,most_predicted,skipped,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,1000,f1,ALL,400,54,13.5,5.0,5.3605599115110404e-11,oscar_wilde:99; mary_shelley:89; charles_dickens:49,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,2000,f1,ALL,400,45,11.25,5.0,4.6252856237604586e-07,oscar_wilde:138; mary_shelley:100; charles_dickens:37,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,4000,f1,ALL,400,38,9.5,5.0,0.00014120651665644343,oscar_wilde:176; mary_shelley:97; arthur_conan_doyle:35,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,1000,f3,ALL,400,53,13.25,5.0,1.6013995390595023e-10,charles_dickens:110; mary_shelley:96; arthur_conan_doyle:40,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,2000,f3,ALL,400,46,11.5,5.0,1.8500358710493949e-07,charles_dickens:108; mary_shelley:108; herbert_george_wells:46,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,4000,f3,ALL,400,38,9.5,5.0,0.00014120651665644343,charles_dickens:104; mary_shelley:99; oscar_wilde:62,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,1000,f1,ALL,200,37,18.5,5.0,6.2662187516244555e-12,arthur_conan_doyle:38; herbert_george_wells:26; oscar_wilde:26,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,2000,f1,ALL,200,35,17.5,5.0,1.1355148336672425e-10,arthur_conan_doyle:39; oscar_wilde:36; herbert_george_wells:33,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,4000,f1,ALL,200,30,15.0,5.0,8.709270943980001e-08,oscar_wilde:41; herbert_george_wells:35; arthur_conan_doyle:35,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,1000,f3,ALL,200,52,26.0,5.0,5.0219858018002405e-23,herbert_george_wells:37; arthur_conan_doyle:30; ethel_m_dell:26,0,,,,,,,,
